Nivel,Parte 1,Parte 2,Parte 3
5,4.75,4,3.75
3,4.5,3.75,0
0,2.5,0,0
2,4,2.5,0
5,4.75,4.25,4
5,4.5,4.5,3.5
1,3.75,0,0
1,3.75,0,0
0,2,0,0
0,1.75,0,0
5,5,4,3.25
5,4,4,3
3,4.75,3.75,0
3,4.25,3.75,0
5,4.25,4.25,3.5
1,3.75,0,0
3,4.75,3.75,0
0,1.75,0,0
2,4.5,2.25,0
3,4.75,3.75,0
1,3.25,0,0
1,3.75,0,0
1,3,0,0
1,3.5,0,0
4,4.5,4.25,2.5
3,4.5,3.75,0
3,4,3,0
5,5,5,4.75
0,2.5,0,0
0,2.5,0,0
5,4.5,4,4.25
0,2,0,0
0,2.25,0,0
0,2.5,0,0
1,3.5,0,0
0,1.75,0,0
4,4.25,4.25,1.75
4,4.5,4.25,2.75
2,4.5,2.75,0
0,1.75,0,0
3,4.25,3.5,0
1,3,0,0
5,4.75,4.75,3.5
0,2.5,0,0
0,1.75,0,0
5,4.5,4.25,3.75
0,2.5,0,0
3,4,3.25,0
1,3.25,0,0
1,3.5,0,0
5,4.75,4.75,4
0,1.25,0,0
1,3.25,0,0
5,5,5,4.5
2,4,2.5,0
1,3.25,0,0
3,4,3.75,0
0,2.5,0,0
3,4.5,3.75,0
0,1.75,0,0
0,2,0,0
5,4,4.25,3.25
5,5,4.75,4.75
1,3.25,0,0
0,2,0,0
1,3.5,0,0
5,5,4,3.75
1,3.25,0,0
1,3.75,0,0
0,2.25,0,0
4,5,4.25,2.75
2,4,2.25,0
1,3.75,0,0
3,4,3.75,0
2,4,4,2.5
0,1.5,0,0
0,2.75,0,0
3,4.5,3.25,0
0,2.75,0,0
1,3.5,0,0
0,2.5,0,0
1,3,0,0
2,4.75,2,0
3,4.75,3.75,0
0,2.25,0,0
0,0.25,0,0
0,2.75,0,0
1,3.5,0,0
1,3.5,0,0
0,2.5,0,0
0,2.25,0,0
0,2,0,0
1,3.75,0,0
0,2.75,0,0
3,4.75,3.5,0
1,3,0,0
1,3.5,0,0
5,4.25,4.25,3.75
3,4.25,3.25,0
3,5,3.5,0
0,2,0,0
5,4.75,4.75,4.25
5,5,4.5,4.75
0,2.75,0,0
5,4.5,4.25,3.25
5,5,4,4.25
2,4.25,2.5,0
5,5,4.5,4.25
0,2.5,0,0
3,4.25,3.5,0
1,3,0,0
0,2.5,0,0
1,3.5,0,0
1,3.5,0,0
0,2.75,0,0
1,3.5,0,0
1,3.25,0,0
0,2.25,0,0
1,3,0,0
0,2.5,0,0
1,3.25,0,0
0,1.75,0,0
3,4.75,3.75,0
1,3.75,0,0
3,4.75,3.5,0
0,2.25,0,0
0,2.75,0,0
1,3.5,0,0
0,2.75,0,0
5,5,4.25,3.25
0,2.5,0,0
5,4.25,4.75,4.75
2,4,2.25,0
5,4.75,4,4.25
1,3.25,0,0
3,4,3,0
0,2,0,0
3,4.25,3.5,0
1,3.25,0,0
2,4,2.25,0
0,2.5,0,0
1,3,0,0
0,2.25,0,0
3,4,3,0
1,3.5,0,0
3,4.25,3.25,0
5,5,4.5,4
3,4.5,3.25,0
5,5,4.5,4.25
0,2.75,0,0
0,2,0,0
3,4,3,0
3,4.5,3.75,0
0,2.25,0,0
0,2.75,0,0
1,3.25,0,0
3,4.5,3.5,0
1,3.5,0,0
3,4,3,0
0,1.5,0,0
1,3,0,0
1,3.75,0,0
0,2.25,0,0
0,2.75,0,0
3,4.75,3.5,0
3,4.5,3.5,0
1,3.25,0,0
0,2.75,0,0
5,4.75,4.5,4.25
2,4,2.5,0
0,2.25,0,0
5,4.25,4,3.5
3,4.75,3.5,0
0,1.75,0,0
1,3.25,0,0
3,4.25,3.75,0
0,2.5,0,0
1,3.5,0,0
0,2.75,0,0
0,1.75,0,0
1,3.25,0,0
1,3.25,0,0
1,3,0,0
0,2,0,0
0,1.5,0,0
3,4,3.25,0
3,4,3.75,0
1,3.75,0,0
4,4,4.25,2.5
1,3.5,0,0
0,2.5,0,0
0,2.25,0,0
0,2,0,0
0,1.25,0,0
0,2.25,0,0
1,3,0,0
1,3.5,0,0
0,1.75,0,0
1,3.5,0,0
0,2.75,0,0
0,1,0,0
0,2,0,0
3,4.75,3.75,0
1,2.75,0,0
0,2,0,0
0,2.75,0,0
5,4.75,4.25,3
0,2.75,0,0
1,3.75,0,0
1,3.75,0,0
0,2,0,0
2,4.5,2.5,0
1,3.5,0,0
5,4.25,4.5,3.5
1,3.5,0,0
0,2.25,0,0
1,3.75,0,0
5,4.75,4.25,4.5
3,4.25,3.75,0
0,2.75,0,0
1,3.25,0,0
5,4,4,3.75
1,3.5,0,0
1,3,0,0
3,4.25,3.5,0
3,4.75,3.75,0
3,4,3.25,0
1,3.75,0,0
1,3.25,0,0
0,2.5,0,0
5,4.75,4.25,4.75
5,4.75,4.5,4.75
3,4,3.25,0
1,3.75,0,0
0,2.75,0,0
1,3.25,0,0
2,4,2,0
5,4.5,4,4
2,4.75,2.75,0
0,1,0,0
1,3.75,0,0
2,4,2.25,0
1,3,0,0
1,3,0,0
1,3,0,0
1,3,0,0
3,4,3.25,0
0,2.25,0,0
0,2,0,0
1,3.75,0,0
0,2.25,0,0
5,4,4,3.5
1,3.5,0,0
5,4.25,4,3.25
0,2.5,0,0
1,3.5,0,0
3,4.5,3.5,0
0,2.75,0,0
1,3.25,0,0
1,3.5,0,0
1,3.25,0,0
5,4.75,4.5,3.5
0,1.75,0,0
3,4.25,3,0
5,5,5,4.75
1,3.75,0,0
4,4.75,4,2.75
0,2.5,0,0
3,4,3.75,0
0,2.5,0,0
2,4.25,2.25,0
5,4.5,4.25,4.25
5,5,5,4.75
0,2.5,0,0
1,3,0,0
2,4,2.5,0
0,1.5,0,0
0,2,0,0
1,3.75,0,0
0,2.75,0,0
2,4,2.25,0
0,2.25,0,0
3,4.75,3.75,0
5,5,5,5
2,4,2.5,0
1,3.75,0,0
0,2,0,0
0,2.25,0,0
0,2,0,0
5,4.5,4.5,4
0,2.75,0,0
5,4.75,4,4.5
3,4,3.5,0
0,2.75,0,0
0,2.75,0,0
