Nivel,Parte 1,Parte 2,Parte 3
6,4.75,3.5,0
2,3,0,0
3,3.5,0,0
9,4.25,4.25,3.75
5,4.25,3.25,0
6,5,3.5,0
2,2,0,0
9,4.75,4.75,4.25
9,5,4.5,4.75
2,2.75,0,0
8,4.5,4.25,3.25
9,5,4,4.25
5,4.25,2.5,0
9,5,4.5,4.25
2,2.5,0,0
6,4.25,3.5,0
2,3,0,0
2,2.5,0,0
3,3.5,0,0
3,3.5,0,0
2,2.75,0,0
3,3.5,0,0
2,3.25,0,0
2,2.25,0,0
2,3,0,0
2,2.5,0,0
2,3.25,0,0
1,1.75,0,0
6,4.75,3.75,0
3,3.75,0,0
6,4.75,3.5,0
2,2.25,0,0
2,2.75,0,0
3,3.5,0,0
2,2.75,0,0
8,5,4.25,3.25
2,2.5,0,0
9,4.25,4.75,4.75
5,4,2.25,0
9,4.75,4,4.25
2,3.25,0,0
5,4,3,0
2,2,0,0
6,4.25,3.5,0
2,3.25,0,0
5,4,2.25,0
2,2.5,0,0
2,3,0,0
2,2.25,0,0
5,4,3,0
3,3.5,0,0
5,4.25,3.25,0
9,5,4.5,4
5,4.5,3.25,0
9,5,4.5,4.25
2,2.75,0,0
2,2,0,0
5,4,3,0
6,4.5,3.75,0
2,2.25,0,0
2,2.75,0,0
2,3.25,0,0
6,4.5,3.5,0
3,3.5,0,0
5,4,3,0
1,1.5,0,0
2,3,0,0
3,3.75,0,0
2,2.25,0,0
2,2.75,0,0
6,4.75,3.5,0
6,4.5,3.5,0
2,3.25,0,0
2,2.75,0,0
9,4.75,4.5,4.25
5,4,2.5,0
2,2.25,0,0
9,4.25,4,3.5
6,4.75,3.5,0
1,1.75,0,0
2,3.25,0,0
6,4.25,3.75,0
2,2.5,0,0
3,3.5,0,0
2,2.75,0,0
1,1.75,0,0
2,3.25,0,0
2,3.25,0,0
2,3,0,0
2,2,0,0
1,1.5,0,0
5,4,3.25,0
6,4,3.75,0
3,3.75,0,0
8,4,4.25,2.5
3,3.5,0,0
2,2.5,0,0
2,2.25,0,0
2,2,0,0
1,1.25,0,0
2,2.25,0,0
2,3,0,0
3,3.5,0,0
1,1.75,0,0
3,3.5,0,0
2,2.75,0,0
1,1,0,0
2,2,0,0
6,4.75,3.75,0
2,2.75,0,0
2,2,0,0
2,2.75,0,0
8,4.75,4.25,3
2,2.75,0,0
3,3.75,0,0
3,3.75,0,0
2,2,0,0
5,4.5,2.5,0
3,3.5,0,0
9,4.25,4.5,3.5
3,3.5,0,0
2,2.25,0,0
3,3.75,0,0
9,4.75,4.25,4.5
6,4.25,3.75,0
2,2.75,0,0
2,3.25,0,0
9,4,4,3.75
3,3.5,0,0
2,3,0,0
6,4.25,3.5,0
6,4.75,3.75,0
5,4,3.25,0
3,3.75,0,0
2,3.25,0,0
2,2.5,0,0
9,4.75,4.25,4.75
9,4.75,4.5,4.75
5,4,3.25,0
3,3.75,0,0
2,2.75,0,0
2,3.25,0,0
5,4,2,0
9,4.5,4,4
5,4.75,2.75,0
1,1,0,0
3,3.75,0,0
5,4,2.25,0
2,3,0,0
0,0.25,0,0
2,3,0,0
2,3,0,0
5,4,3.25,0
2,2.25,0,0
2,2,0,0
3,3.75,0,0
2,2.25,0,0
9,4,4,3.5
3,3.5,0,0
8,4.25,4,3.25
2,2.5,0,0
3,3.5,0,0
6,4.5,3.5,0
2,2.75,0,0
2,3.25,0,0
3,3.5,0,0
2,3.25,0,0
9,4.75,4.5,3.5
1,1.75,0,0
5,4.25,3,0
9,5,5,4.75
3,3.75,0,0
8,4.75,4,2.75
2,2.5,0,0
6,4,3.75,0
2,2.5,0,0
5,4.25,2.25,0
9,4.5,4.25,4.25
9,5,5,4.75
2,2.5,0,0
2,3,0,0
5,4,2.5,0
1,1.5,0,0
2,2,0,0
3,3.75,0,0
2,2.75,0,0
5,4,2.25,0
2,2.25,0,0
6,4.75,3.75,0
9,5,5,5
5,4,2.5,0
3,3.75,0,0
2,2,0,0
2,2.25,0,0
2,2,0,0
9,4.5,4.5,4
2,2.75,0,0
9,4.75,4,4.5
6,4,3.5,0
2,2.75,0,0
2,2.75,0,0
2,3,0,0
0,0.5,0,0
3,3.75,0,0
5,4.75,3,0
9,5,5,4
9,5,4.75,4.5
9,4.25,4.75,3.75
1,1.75,0,0
5,4.25,2.5,0
6,4.5,3.5,0
5,4.25,4.25,3.25
2,2.75,0,0
5,4.25,2.5,0
6,5,4.25,3.25
2,2.5,0,0
1,1.5,0,0
2,4.75,3.25,0
2,2.5,0,0
5,4,2.5,0
2,2.75,0,0
2,4,2.25,0
8,5,4.5,3.25
5,4.5,2.5,0
5,4.5,2.25,0
2,2.25,0,0
5,4.25,2.25,0
2,2.75,0,0
3,3.5,0,0
9,5,4.75,4.25
5,4,2.25,0
1,1.75,0,0
3,3.75,0,0
2,2.75,0,0
8,4.5,4,2.25
2,2,0,0
2,3,0,0
2,3.25,0,0
1,2.5,0,0
2,3,0,0
9,4.5,4.5,3.75
2,2.5,0,0
2,3,0,0
4,4,1.75,0
2,2.75,0,0
5,4,3,0
1,1.75,0,0
2,2.25,0,0
1,1.75,0,0
1,1.5,0,0
2,2,0,0
3,3.5,0,0
8,4.75,4.25,3
1,1,0,0
2,2.75,0,0
5,4.25,2,0
2,3.25,0,0
9,4.5,4.5,3.5
5,4.5,3,0
9,5,5,4.25
2,2,0,0
6,4,3.5,0
6,4.25,3.75,0
5,4,3,0
1,1.75,0,0
3,3.5,0,0
3,3.5,0,0
2,2.5,0,0
2,2.75,0,0
5,5,3.25,0
8,4.75,4.5,2.75
9,5,4.75,5
6,4.25,3.5,0
2,3,0,0
4,4.5,1.75,0
9,4.75,4.75,4.5
5,4,3,0
9,5,4.25,4.25
3,3.75,0,0
9,4.5,4.75,3.75
8,4.75,4.75,3
3,3.5,0,0
2,2.75,0,0
5,4.5,3.25,0
1,1.5,0,0
9,5,4.25,3.75
9,5,4.5,3.75
2,2.75,0,0
3,3.75,0,0
3,3.5,0,0
4,4.25,1.75,0
9,5,4.75,4
9,4.5,4.75,4.5
2,2.5,0,0
9,4.75,4.5,4
2,3.25,0,0
2,2.5,0,0
2,2.25,0,0
2,2.75,0,0
9,4.75,4.75,4.25
5,4.25,2.75,0
6,4.25,3.5,0
6,4.25,3.5,0
3,3.50,0,0
2,2.00,0,0
2,3.25,0,0
2,2.25,0,0
3,3.50,0,0
5,4.5,3.25,0
2,2.5,0,0
5,4,3.25,0
2,3.25,0,0
8,5,4,3.25
2,2,0,0
2,2,0,0
9,4.5,5,4.75
9,4.25,4.25,3.5
2,2.00,0,0
7,4.00,4,1
2,2.00,0,0
8,4.00,4,3
1,1.75,0,0
7,4.50,4,1.5
2,2.75,0,0
2,3.00,0,0
3,4.5,3.5,0
9,4.75,4,4
9,4.75,4.5,3.75
5,4.25,2.75,0
6,4.5,3.75,0
9,4.5,4.5,4
2,2.25,0,0
2,3.25,0,0
4,4.25,1.75,0
0,0.5,0,0
0,0.25,0,0
4,4,0.25,0
4,4,1,0
7,4,4,0.25
7,4,4.25,0.5
8,4,4.5,3
4,4.25,1.5,0
7,4,4.5,0.75
4,4.5,1.25,0
8,4,4,3.25
4,4.25,0.5,0
7,4.5,4.5,1
4,4.75,0,0
4,4.75,0.75,0
8,4,4,3
7,4,4,1
7,4.25,4.75,1.25
4,4.5,1,0
4,4.25,1.25,0
7,4,4,1.5
8,4,4,3
7,4.75,4,1.5
4,4.5,0.75,0
4,4.25,0.25,0
8,4.5,4.5,2.5
8,4.25,4,3
4,4,0.5,0
4,4,1.5,0
7,4,4,0.5
8,4.5,4,2
7,4.25,4.5,0.1
7,4,4.25,0.25
8,4.25,4,2.5
8,4,4.5,2.75
8,4.5,4.5,2
7,4.25,4.75,0.75
7,4.75,4,1.25
8,4,4,3
8,4.5,4.5,1.5
8,4.5,4,2.5
7,4,4,1.5
8,4,4,1
2,3.25,0,0
2,2.5,0,0
3,3.75,0,0
8,4.75,4,2.5
2,3.25,0,0
9,4,4.25,3.5
6,4.75,3.75,0
2,3,0,0
2,2.75,0,0
5,5,3.25,0
3,3.75,0,0
2,3.25,0,0
2,3,0,0
2,2,0,0
1,1.75,0,0
3,3.75,0,0
2,3,0,0
2,2.25,0,0
1,1,0,0
3,3.75,0,0
1,1.75,0,0
3,3.5,0,0
1,1.5,0,0
